episode,reward,length
829,1.5745,26
830,-0.486102,17
831,1.643988,21
832,-2.197987,16
833,-6.470838,30
834,3.050145,30
835,-3.056081,18
836,1.572162,30
837,0.505532,10
838,1.360997,17
839,0.748138,28
840,-3.240445,18
841,0.675938,23
842,2.420022,19
843,-1.528438,24
844,2.405891,19
845,1.109693,14
846,-3.457669,27
847,1.167831,25
848,0.533814,13
849,2.13061,21
850,-0.677864,17
851,0.805821,27
852,-0.546939,11
853,1.733778,14
854,-1.028383,25
855,-4.551562,30
856,0.604916,30
857,2.129214,12
858,-1.842505,17
859,-1.809479,22
860,1.999286,30
861,-1.179017,18
862,-8.091092,23
863,-5.096385,30
864,0.606198,30
865,1.744914,27
866,0.676836,30
867,1.400539,24
868,-1.869927,23
869,-0.372236,14
870,0.013824,15
871,-4.623129,30
872,-0.445906,30
873,-5.856438,12
874,-0.337394,25
875,-1.91806,17
876,-5.078771,29
877,1.154795,30
878,-0.133968,30
879,-0.637854,30
880,0.073822,26
881,-2.902299,30
882,1.965478,29
883,-4.353899,19
884,-6.367915,30
885,-0.575347,19
886,-2.161591,30
887,-1.574458,30
888,-4.957388,30
889,1.514224,30
890,-14.682998,30
891,0.835644,21
892,1.71952,29
893,0.352101,12
894,1.789625,18
895,-8.465019,27
896,-4.914713,21
897,-1.025557,22
898,-0.211899,30
899,-12.429151,30
900,1.630231,30
901,-7.896947,30
902,-1.759692,30
903,-0.792135,16
904,-1.419832,30
905,2.520144,22
906,-0.934131,19
907,0.468429,21
908,-0.232978,21
909,0.720311,19
910,-1.037835,23
911,2.253833,22
912,0.509007,30
913,-6.575372,25
914,-2.234143,20
915,-4.085646,30
916,-3.719358,27
917,0.911948,27
918,-1.099625,28
919,-7.666481,30
920,1.016989,16
921,-0.127085,24
922,-1.130217,11
923,-3.568317,30
924,1.630678,22
925,-0.765975,28
926,-2.820214,22
927,1.531214,23
928,2.319032,30
929,-0.478984,30
930,-1.851396,25
931,-4.122855,28
932,-5.773388,30
933,1.965342,30
934,-3.714035,24
935,-0.860392,30
936,-2.333697,30
937,-0.564031,30
938,-6.976418,26
939,0.826818,22
940,0.557188,27
941,2.875884,30
942,-2.516291,22
943,2.602967,30
944,0.381223,30
945,-0.805222,16
946,-0.111741,28
947,-1.028899,30
948,1.36749,22
949,-0.792252,25
950,0.050727,29
951,0.902482,30
952,-0.826477,19
953,-0.16867,16
954,-3.238231,24
955,2.581031,20
956,-0.570195,17
957,2.446601,25
958,-3.167751,29
959,-0.301656,21
960,0.864187,30
961,2.776616,14
962,-6.071828,24
963,-5.663623,30
964,-3.215093,23
965,-0.04261,30
966,0.703045,9
967,1.33427,24
968,-1.141702,13
969,-6.572757,19
970,1.454844,29
971,-0.652003,22
972,-17.903809,30
973,-2.906011,22
974,-5.960306,22
975,0.561024,30
976,-0.142148,27
977,1.190295,30
978,-2.144331,30
979,-1.073365,30
980,1.940523,30
981,-0.003051,26
982,-0.656094,28
983,0.082892,30
984,2.126622,17
985,-0.361458,28
986,-5.078908,27
987,-4.989565,17
988,-3.647278,16
989,-1.445053,24
990,-8.399039,30
991,-1.302696,29
992,1.383903,30
993,2.877566,20
994,-6.111724,30
995,-4.644243,25
996,1.523721,16
997,-7.365805,20
998,1.985016,18
999,-2.850919,30
1000,-0.795853,28
1001,-2.187054,30
1002,-5.987435,24
1003,-0.363179,14
1004,2.205624,30
1005,1.104717,22
1006,2.934105,29
1007,-7.097996,29
1008,-0.757632,24
1009,-9.482585,30
1010,1.10235,25
1011,-1.036029,30
1012,0.299471,30
1013,2.792494,17
1014,-3.415076,21
1015,-2.423826,30
